image_name,left_eye_width,left_eye_height,right_eye_width,right_eye_height,left_eye_aspect_ratio,right_eye_aspect_ratio,left_eyebrow_eye_distance,right_eyebrow_eye_distance,inter_eyebrow_distance,mouth_width,mouth_height,mouth_inner_width,left_lip_height,right_lip_height,mouth_aspect_ratio,nose_length,nose_to_lip_distance,jaw_width,chin_to_nose_distance,eye_line_angle,mouth_line_angle,eye_symmetry,mouth_symmetry,eyebrow_symmetry,facial_symmetry,emotion
Ck+_sadness_13.png,0.2992685346924365,0.10297714405088612,0.3077683422445204,0.1018205320612944,0.6418729642190898,0.617135869316412,0.25913047034425474,0.26539752016466783,1.2457210855029617,0.5243035017922375,0.023481108502081557,0.44986103062117594,0.02251516697080061,0.02496374429518222,0.0835422747903357,0.49532584990544215,0.3049139862269583,1.5105275003614398,0.8044028078702481,-4.876520660939157,-7.8288327571001215,0.04522967338562023,0.06755155324935913,0.054529011249542236,0.08807522058486938,sadness
Ck+_disgust_41.png,0.2999863211249755,0.08887853271522356,0.31486474312799906,0.08736898189516673,0.5946195076577527,0.5568998586067486,0.18563938859055074,0.18824081213758254,1.2855120779116176,0.5337490953559578,0.014093989465069378,0.4666192768747743,0.01436864872656068,0.015902832692982073,0.052995841419915375,0.4835265931153713,0.2497539503454278,1.5768428792385236,0.7244089349509718,-2.519830670027338,-3.9345747737106085,0.0012178122997283658,0.05174738168716425,0.006440103054046631,0.02004373073577881,disgust
Ck+_happy_187.png,0.3000776770105574,0.06199628333601396,0.31467418188638985,0.06169936857608351,0.39731463220112384,0.3770703039727744,0.1996534470965511,0.20739694259803654,1.2613607906937527,0.8178038833915549,0.17738592081047014,0.7138267376019622,0.17167558749547018,0.17406024336025383,0.41713279401409364,0.4418817260924364,0.24193349837680728,1.589312857809262,0.8497206141155113,-1.1415674693077187,-4.063063515596818,0.03584694862365717,0.06502175331115723,0.032613158226013184,0.03517982363700867,happy
Ck+_happy_43.png,0.31312613632583325,0.11497079968821998,0.3245405752204569,0.11824334262392715,0.7664500223898754,0.7605423580934243,0.2140941831560455,0.21810026214981665,1.2769498241769914,0.7738721033158108,0.15849359655129436,0.6776036989088736,0.15444463290707866,0.15653450706181746,0.42752337139149393,0.563271482070938,0.19649836226153403,1.5459829030100114,0.7430812784581248,0.9677943198996247,-3.255692384288372,0.006588339805603138,0.059191524982452504,0.0004804134368895929,0.013701915740966741,happy
Ck+_happy_137.png,0.31138306110934566,0.08558413249529256,0.30893164378378957,0.08599656671903509,0.531237118400322,0.5380329080861922,0.2092504034432883,0.2106154535296239,1.2785242827966727,0.6841080011328726,0.12566387065007983,0.5895241400295281,0.12294687792384053,0.12420038614195021,0.35504007332444854,0.5468569125809762,0.1830753180776817,1.5286876941457048,0.7441760337863513,3.8110614169591366,0.2695194356118023,0.005242884159088135,9.119510650629215e-05,0.008789032697677557,0.015358194708824158,happy
Ck+_sadness_50.png,0.2995391861184837,0.07433877919534518,0.2999854759074766,0.07436747635350974,0.438402035580431,0.4379188121751051,0.25598719624454497,0.2534242306393627,1.244615791472257,0.5746580928752552,0.011336639045308851,0.503384790396525,0.01054734238740871,0.012678504126644358,0.03484871756652478,0.38729521679159873,0.3247503380055756,1.5002550600071194,0.8104716207024474,1.8699853584697446,1.582522696229152,0.008298039436340221,0.012731671333313044,0.00815367698669428,0.015194058418273898,sadness
Ck+_surprise_147.png,0.3019159198956844,0.11169475270729684,0.3132379802358238,0.11097499831479966,0.7502184676196292,0.7184421950743326,0.315259056748921,0.3211704112946833,1.2599836055749796,0.5524707815453009,0.23863495941138682,0.4503963465369278,0.22772864339336235,0.22941381752495466,0.8759252968140918,0.508311539738107,0.3332509442620578,1.4832078973624794,0.9569660678246007,0.07203143884047984,-1.0234549806209878,0.004928827285766657,0.05543231964111339,0.0008401870727539618,0.01937615871429435,surprise
Ck+_surprise_11.png,0.30735845548983876,0.10929113996350377,0.312247812493161,0.1099014125009174,0.709760278814118,0.7025476959355884,0.28704389092578114,0.285981229944978,1.2644096558353426,0.48880092669873487,0.10191323941655642,0.4010144661635787,0.09639913790527525,0.09855565416059765,0.4161707303276194,0.4933122212246251,0.3501277063858648,1.5155238691002486,0.8478845547706533,-2.439867034714305,-4.913402231608766,0.025965213775634766,0.04869782924652094,0.03115916252136236,0.056591928005218506,surprise
Ck+_happy_197.png,0.31411960446449855,0.11009857185424538,0.31606531223265366,0.10659770771916106,0.6795112332217157,0.6538543900542629,0.17664694175790802,0.16680705958324987,1.2678299441857481,0.714804801372755,0.07659412841103888,0.6261738955436195,0.07582220221444415,0.0774937322655281,0.20773970808159128,0.5405135310021351,0.2182601244515582,1.520648923310622,0.6872393368151232,3.575747545842355,-1.061209068260876,0.020227462053298922,0.03580588102340698,0.01821428537368769,0.01842939853668213,happy
Ck+_happy_152.png,0.31207991116622585,0.08837026038221098,0.3087349669115653,0.08907662982342361,0.5733796170104083,0.5842246218804179,0.19836861576887918,0.19806852843633727,1.2827386909531666,0.6858736805579112,0.1147903695555194,0.5944949683290588,0.11259718766671825,0.1138786313887938,0.3388947033975841,0.49947746311976665,0.19811269840994836,1.6021086343331867,0.776183280347737,2.0430436700858863,-1.0246065705555802,0.006402194499969482,0.002177655696868841,0.004772931337356567,0.003639817237854004,happy
